row	sample	page	QC	karyotype
352	160830_HMFregCPCT_FR10302709_FR10304575_CPCT02020353		p	01:01
353	160830_HMFregCPCT_FR10302709_FR10304575_CPCT02020353		p	02:01
354	160830_HMFregCPCT_FR10302709_FR10304575_CPCT02020353		p	02:00
355	160830_HMFregCPCT_FR10302709_FR10304575_CPCT02020353		p	02:02
356	160830_HMFregCPCT_FR10302718_FR10304568_CPCT02050047	72		01:00
357	160830_HMFregCPCT_FR10302718_FR10304568_CPCT02050047			01:01
358	160830_HMFregCPCT_FR10302718_FR10304568_CPCT02050047		p	02:01
359	160830_HMFregCPCT_FR10302718_FR10304568_CPCT02050047		r	02:00
360	160830_HMFregCPCT_FR10302718_FR10304568_CPCT02050047		p	02:02
361	160830_HMFregCPCT_FR10302721_FR10304565_CPCT02070013	73		01:00
362	160830_HMFregCPCT_FR10302721_FR10304565_CPCT02070013			01:01
363	160830_HMFregCPCT_FR10302721_FR10304565_CPCT02070013		f	02:01
364	160830_HMFregCPCT_FR10302721_FR10304565_CPCT02070013		f	02:00
365	160830_HMFregCPCT_FR10302721_FR10304565_CPCT02070013		p	02:02
366	160830_HMFregCPCT_FR12254146_FR10304572_CPCT02020356	74	p	01:00
367	160830_HMFregCPCT_FR12254146_FR10304572_CPCT02020356		p	01:01
368	160830_HMFregCPCT_FR12254146_FR10304572_CPCT02020356		p	02:01
369	160830_HMFregCPCT_FR12254146_FR10304572_CPCT02020356		p	02:00
370	160830_HMFregCPCT_FR12254146_FR10304572_CPCT02020356			02:02
371	160903_HMFregCPCT_FR10302740_FR10304570_CPCT02050049	75		01:00
372	160903_HMFregCPCT_FR10302740_FR10304570_CPCT02050049		p	01:01
373	160903_HMFregCPCT_FR10302740_FR10304570_CPCT02050049		f	02:01
374	160903_HMFregCPCT_FR10302740_FR10304570_CPCT02050049			02:00
375	160903_HMFregCPCT_FR10302740_FR10304570_CPCT02050049			02:02
376	160905_HMFregCPCT_FR10301943_FR12251966_CPCT02160001	76	f	01:00
377	160905_HMFregCPCT_FR10301943_FR12251966_CPCT02160001		r	01:01
378	160905_HMFregCPCT_FR10301943_FR12251966_CPCT02160001		r	02:01
379	160905_HMFregCPCT_FR10301943_FR12251966_CPCT02160001			02:00
380	160905_HMFregCPCT_FR10301943_FR12251966_CPCT02160001			02:02
381	160905_HMFregCPCT_FR12244559_FR12251744_CPCT02160003	77	p	01:00
382	160905_HMFregCPCT_FR12244559_FR12251744_CPCT02160003		p	01:01
383	160905_HMFregCPCT_FR12244559_FR12251744_CPCT02160003		p	02:01
384	160905_HMFregCPCT_FR12244559_FR12251744_CPCT02160003		f	02:00
385	160905_HMFregCPCT_FR12244559_FR12251744_CPCT02160003		p	02:02
386	160905_HMFregCPCT_FR12251688_FR10304573_CPCT02020348	78		01:00
387	160905_HMFregCPCT_FR12251688_FR10304573_CPCT02020348			01:01
388	160905_HMFregCPCT_FR12251688_FR10304573_CPCT02020348		p	02:01
389	160905_HMFregCPCT_FR12251688_FR10304573_CPCT02020348		r	02:00
390	160905_HMFregCPCT_FR12251688_FR10304573_CPCT02020348		r	02:02
391	160905_HMFregCPCT_FR12254135_FR10304574_CPCT02020350	79	f	01:00
392	160905_HMFregCPCT_FR12254135_FR10304574_CPCT02020350		p	01:01
393	160905_HMFregCPCT_FR12254135_FR10304574_CPCT02020350			02:01
394	160905_HMFregCPCT_FR12254135_FR10304574_CPCT02020350		f	02:00
395	160905_HMFregCPCT_FR12254135_FR10304574_CPCT02020350			02:02
396	160905_HMFregCPCT_FR12254668_FR12251934_CPCT02160004		p	01:00
397	160905_HMFregCPCT_FR12254668_FR12251934_CPCT02160004		p	01:01
398	160905_HMFregCPCT_FR12254668_FR12251934_CPCT02160004		f	02:01
399	160905_HMFregCPCT_FR12254668_FR12251934_CPCT02160004		f	02:00
400	160905_HMFregCPCT_FR12254668_FR12251934_CPCT02160004		p	02:02
401	160906_HMFregCPCT_FR10302726_FR10304569_CPCT02050048		p	01:00
402	160906_HMFregCPCT_FR10302726_FR10304569_CPCT02050048		p	01:01
403	160906_HMFregCPCT_FR10302726_FR10304569_CPCT02050048		p	02:01
404	160906_HMFregCPCT_FR10302726_FR10304569_CPCT02050048		f	02:00
405	160906_HMFregCPCT_FR10302726_FR10304569_CPCT02050048		p	02:02
406	160912_HMFregCPCT_FR03631934_FR12251918_CPCT02060015		p	01:00
407	160912_HMFregCPCT_FR03631934_FR12251918_CPCT02060015		p	01:01
408	160912_HMFregCPCT_FR03631934_FR12251918_CPCT02060015		p	02:01
409	160912_HMFregCPCT_FR03631934_FR12251918_CPCT02060015		p	02:00
410	160912_HMFregCPCT_FR03631934_FR12251918_CPCT02060015			02:02
411	160912_HMFregCPCT_FR10302565_FR12251890_CPCT02060018			01:00
412	160912_HMFregCPCT_FR10302565_FR12251890_CPCT02060018			01:01
413	160912_HMFregCPCT_FR10302565_FR12251890_CPCT02060018		f	02:01
414	160912_HMFregCPCT_FR10302565_FR12251890_CPCT02060018		p	02:00
415	160912_HMFregCPCT_FR10302565_FR12251890_CPCT02060018		p	02:02
416	160912_HMFregCPCT_FR10302729_FR12251900_CPCT02010393			01:00
417	160912_HMFregCPCT_FR10302729_FR12251900_CPCT02010393			01:01
418	160912_HMFregCPCT_FR10302729_FR12251900_CPCT02010393		p	02:01
419	160912_HMFregCPCT_FR10302729_FR12251900_CPCT02010393			02:00
420	160912_HMFregCPCT_FR10302729_FR12251900_CPCT02010393		p	02:02
421	160912_HMFregCPCT_FR12244669_FR12251782_CPCT02060013			01:00
422	160912_HMFregCPCT_FR12244669_FR12251782_CPCT02060013		p	01:01
423	160912_HMFregCPCT_FR12244669_FR12251782_CPCT02060013		p	02:01
424	160912_HMFregCPCT_FR12244669_FR12251782_CPCT02060013		f	02:00
425	160912_HMFregCPCT_FR12244669_FR12251782_CPCT02060013		p	02:02
426	160913_HMFregCPCT_FR10302733_FR12251521_CPCT02060022		r	01:00
427	160913_HMFregCPCT_FR10302733_FR12251521_CPCT02060022		r	01:01
428	160913_HMFregCPCT_FR10302733_FR12251521_CPCT02060022		p	02:01
429	160913_HMFregCPCT_FR10302733_FR12251521_CPCT02060022			02:00
430	160913_HMFregCPCT_FR10302733_FR12251521_CPCT02060022			02:02
431	160913_HMFregCPCT_FR10304584_FR12251950_CPCT02070009			01:00
432	160913_HMFregCPCT_FR10304584_FR12251950_CPCT02070009			01:01
433	160913_HMFregCPCT_FR10304584_FR12251950_CPCT02070009		f	02:01
434	160913_HMFregCPCT_FR10304584_FR12251950_CPCT02070009		f	02:00
435	160913_HMFregCPCT_FR10304584_FR12251950_CPCT02070009		p	02:02
436	160913_HMFregCPCT_FR12244671_FR12251958_CPCT02020334		p	01:00
437	160913_HMFregCPCT_FR12244671_FR12251958_CPCT02020334		p	01:01
438	160913_HMFregCPCT_FR12244671_FR12251958_CPCT02020334		r	02:01
439	160913_HMFregCPCT_FR12244671_FR12251958_CPCT02020334		r	02:00
440	160913_HMFregCPCT_FR12244671_FR12251958_CPCT02020334		p	02:02
441	160916_HMFregCPCT_FR10302712_FR12254167_CPCT02030261		p	01:00
442	160916_HMFregCPCT_FR10302712_FR12254167_CPCT02030261		p	01:01
443	160916_HMFregCPCT_FR10302712_FR12254167_CPCT02030261		p	02:01
444	160916_HMFregCPCT_FR10302712_FR12254167_CPCT02030261			02:00
445	160916_HMFregCPCT_FR10302712_FR12254167_CPCT02030261			02:02
446	160916_HMFregCPCT_FR10302739_FR12251877_CPCT02040035		r	01:00
447	160916_HMFregCPCT_FR10302739_FR12251877_CPCT02040035		p	01:01
448	160916_HMFregCPCT_FR10302739_FR12251877_CPCT02040035		p	02:01
449	160916_HMFregCPCT_FR10302739_FR12251877_CPCT02040035			02:00
450	160916_HMFregCPCT_FR10302739_FR12251877_CPCT02040035			02:02
451	160916_HMFregCPCT_FR10302747_FR12251536_CPCT02010398		p	01:00
452	160916_HMFregCPCT_FR10302747_FR12251536_CPCT02010398		p	01:01
453	160916_HMFregCPCT_FR10302747_FR12251536_CPCT02010398			02:01
454	160916_HMFregCPCT_FR10302747_FR12251536_CPCT02010398			02:00
455	160916_HMFregCPCT_FR10302747_FR12251536_CPCT02010398		p	02:02
456	160916_HMFregCPCT_FR10302748_FR12251953_CPCT02020358			01:00
457	160916_HMFregCPCT_FR10302748_FR12251953_CPCT02020358			01:01
458	160916_HMFregCPCT_FR10302748_FR12251953_CPCT02020358		p	02:01
459	160916_HMFregCPCT_FR10302748_FR12251953_CPCT02020358		p	02:00
460	160916_HMFregCPCT_FR10302748_FR12251953_CPCT02020358		p	02:02
461	160916_HMFregCPCT_FR10302749_FR12251983_CPCT02020357		p	01:00
462	160916_HMFregCPCT_FR10302749_FR12251983_CPCT02020357		f	01:01
463	160916_HMFregCPCT_FR10302749_FR12251983_CPCT02020357		p	02:01
464	160916_HMFregCPCT_FR10302749_FR12251983_CPCT02020357			02:00
465	160916_HMFregCPCT_FR10302749_FR12251983_CPCT02020357			02:02
466	160916_HMFregCPCT_FR10302780_FR12254138_CPCT02010397		f	01:00
467	160916_HMFregCPCT_FR10302780_FR12254138_CPCT02010397		p	01:01
468	160916_HMFregCPCT_FR10302780_FR12254138_CPCT02010397		p	02:01
469	160916_HMFregCPCT_FR10302780_FR12254138_CPCT02010397		f	02:00
470	160916_HMFregCPCT_FR10302780_FR12254138_CPCT02010397		p	02:02
471	160916_HMFregCPCT_FR12251560_FR12251906_CPCT02020351			01:00
472	160916_HMFregCPCT_FR12251560_FR12251906_CPCT02020351			01:01
473	160916_HMFregCPCT_FR12251560_FR12251906_CPCT02020351		f	02:01
474	160916_HMFregCPCT_FR12251560_FR12251906_CPCT02020351			02:00
475	160916_HMFregCPCT_FR12251560_FR12251906_CPCT02020351		p	02:02
476	160916_HMFregCPCT_FR12251705_FR12251527_CPCT02110007		r	01:00
477	160916_HMFregCPCT_FR12251705_FR12251527_CPCT02110007		p	01:01
478	160916_HMFregCPCT_FR12251705_FR12251527_CPCT02110007		p	02:01
479	160916_HMFregCPCT_FR12251705_FR12251527_CPCT02110007		p	02:00
480	160916_HMFregCPCT_FR12251705_FR12251527_CPCT02110007			02:02
481	160916_HMFregCPCT_FR12254273_FR12251547_CPCT02160005			01:00
482	160916_HMFregCPCT_FR12254273_FR12251547_CPCT02160005			01:01
483	160916_HMFregCPCT_FR12254273_FR12251547_CPCT02160005		p	02:01
484	160916_HMFregCPCT_FR12254273_FR12251547_CPCT02160005		r	02:00
485	160916_HMFregCPCT_FR12254273_FR12251547_CPCT02160005		p	02:02
486	160922_HMFregCPCT_FR10302720_FR03631828_CPCT02100026		p	01:00
487	160922_HMFregCPCT_FR10302720_FR03631828_CPCT02100026		p	01:01
488	160922_HMFregCPCT_FR10302720_FR03631828_CPCT02100026		p	02:01
489	160922_HMFregCPCT_FR10302720_FR03631828_CPCT02100026		r	02:00
490	160922_HMFregCPCT_FR10302720_FR03631828_CPCT02100026		p	02:02
491	160922_HMFregCPCT_FR10302744_FR03631829_CPCT02100027			01:00
492	160922_HMFregCPCT_FR10302744_FR03631829_CPCT02100027		p	01:01
493	160922_HMFregCPCT_FR10302744_FR03631829_CPCT02100027		r	02:01
494	160922_HMFregCPCT_FR10302744_FR03631829_CPCT02100027			02:00
495	160922_HMFregCPCT_FR10302744_FR03631829_CPCT02100027			02:02
496	160922_HMFregCPCT_FR10302751_FR12251992_CPCT02140015		f	01:00
497	160922_HMFregCPCT_FR10302751_FR12251992_CPCT02140015		p	01:01
498	160922_HMFregCPCT_FR10302751_FR12251992_CPCT02140015		p	02:01
499	160922_HMFregCPCT_FR10302751_FR12251992_CPCT02140015			02:00
500	160922_HMFregCPCT_FR10302751_FR12251992_CPCT02140015			02:02
501	160922_HMFregCPCT_FR10302782_FR12251860_CPCT02060023		p	01:00
502	160922_HMFregCPCT_FR10302782_FR12251860_CPCT02060023		p	01:01
503	160922_HMFregCPCT_FR10302782_FR12251860_CPCT02060023		p	02:01
504	160922_HMFregCPCT_FR10302782_FR12251860_CPCT02060023			02:00
505	160922_HMFregCPCT_FR10302782_FR12251860_CPCT02060023			02:02
506	160922_HMFregCPCT_FR10302784_FR12251635_CPCT02010401			01:00
507	160922_HMFregCPCT_FR10302784_FR12251635_CPCT02010401		p	01:01
508	160922_HMFregCPCT_FR10302784_FR12251635_CPCT02010401		p	02:01
509	160922_HMFregCPCT_FR10302784_FR12251635_CPCT02010401		p	02:00
510	160922_HMFregCPCT_FR10302784_FR12251635_CPCT02010401		p	02:02
511	160922_HMFregCPCT_FR10304579_FR12254281_CPCT02030265		p	01:00
512	160922_HMFregCPCT_FR10304579_FR12254281_CPCT02030265		p	01:01
513	160922_HMFregCPCT_FR10304579_FR12254281_CPCT02030265		p	02:01
514	160922_HMFregCPCT_FR10304579_FR12254281_CPCT02030265			02:00
515	160922_HMFregCPCT_FR10304579_FR12254281_CPCT02030265			02:02
516	160922_HMFregCPCT_FR12251648_FR03631832_CPCT02070015		f	01:00
517	160922_HMFregCPCT_FR12251648_FR03631832_CPCT02070015		p	01:01
518	160922_HMFregCPCT_FR12251648_FR03631832_CPCT02070015		p	02:01
519	160922_HMFregCPCT_FR12251648_FR03631832_CPCT02070015			02:00
520	160922_HMFregCPCT_FR12251648_FR03631832_CPCT02070015			02:02
521	160922_HMFregCPCT_FR12251695_FR03631835_CPCT02140020		p	01:00
522	160922_HMFregCPCT_FR12251695_FR03631835_CPCT02140020			01:01
523	160922_HMFregCPCT_FR12251695_FR03631835_CPCT02140020		p	02:01
524	160922_HMFregCPCT_FR12251695_FR03631835_CPCT02140020		p	02:00
525	160922_HMFregCPCT_FR12251695_FR03631835_CPCT02140020		r	02:02
526	160922_HMFregCPCT_FR12254014_FR12254268_CPCT02080031		p	01:00
527	160922_HMFregCPCT_FR12254014_FR12254268_CPCT02080031		p	01:01
528	160922_HMFregCPCT_FR12254014_FR12254268_CPCT02080031		p	02:01
529	160922_HMFregCPCT_FR12254014_FR12254268_CPCT02080031			02:00
530	160922_HMFregCPCT_FR12254014_FR12254268_CPCT02080031			02:02
531	160922_HMFregCPCT_FR12254210_FR12254236_CPCT02010376			01:00
532	160922_HMFregCPCT_FR12254210_FR12254236_CPCT02010376		p	01:01
533	160922_HMFregCPCT_FR12254210_FR12254236_CPCT02010376			02:01
534	160922_HMFregCPCT_FR12254210_FR12254236_CPCT02010376			02:00
535	160922_HMFregCPCT_FR12254210_FR12254236_CPCT02010376			02:02
536	160925_HMFregCPCT_FR10304589_FR12254280_CPCT02030264		r	01:00
537	160925_HMFregCPCT_FR10304589_FR12254280_CPCT02030264		p	01:01
538	160925_HMFregCPCT_FR10304589_FR12254280_CPCT02030264		p	02:01
539	160925_HMFregCPCT_FR10304589_FR12254280_CPCT02030264			02:00
540	160925_HMFregCPCT_FR10304589_FR12254280_CPCT02030264			02:02
541	160925_HMFregCPCT_FR10304604_FR12251540_CPCT02010399		f	01:00
542	160925_HMFregCPCT_FR10304604_FR12251540_CPCT02010399		r	01:01
543	160925_HMFregCPCT_FR10304604_FR12251540_CPCT02010399		p	02:01
544	160925_HMFregCPCT_FR10304604_FR12251540_CPCT02010399			02:00
545	160925_HMFregCPCT_FR10304604_FR12251540_CPCT02010399			02:02
546	160925_HMFregCPCT_FR12254258_FR12254205_CPCT02030259		r	01:00
547	160925_HMFregCPCT_FR12254258_FR12254205_CPCT02030259		p	01:01
548	160925_HMFregCPCT_FR12254258_FR12254205_CPCT02030259		p	02:01
549	160925_HMFregCPCT_FR12254258_FR12254205_CPCT02030259		p	02:00
550	160925_HMFregCPCT_FR12254258_FR12254205_CPCT02030259		p	02:02
551	160925_HMFregCPCT_FR12254298_FR03631830_CPCT02100028		p	01:00
552	160925_HMFregCPCT_FR12254298_FR03631830_CPCT02100028		p	01:01
553	160925_HMFregCPCT_FR12254298_FR03631830_CPCT02100028		p	02:01
554	160925_HMFregCPCT_FR12254298_FR03631830_CPCT02100028		p	02:00
555	160925_HMFregCPCT_FR12254298_FR03631830_CPCT02100028			02:02
556	160926_HMFregCPCT_FR10304580_FR03631834_CPCT02140018		p	01:00
557	160926_HMFregCPCT_FR10304580_FR03631834_CPCT02140018		p	01:01
558	160926_HMFregCPCT_FR10304580_FR03631834_CPCT02140018		p	02:01
559	160926_HMFregCPCT_FR10304580_FR03631834_CPCT02140018		p	02:00
560	160926_HMFregCPCT_FR10304580_FR03631834_CPCT02140018		p	02:02
561	160926_HMFregCPCT_FR12251959_FR03631831_CPCT02100029			01:00
562	160926_HMFregCPCT_FR12251959_FR03631831_CPCT02100029		p	01:01
563	160926_HMFregCPCT_FR12251959_FR03631831_CPCT02100029		p	02:01
564	160926_HMFregCPCT_FR12251959_FR03631831_CPCT02100029		f	02:00
565	160926_HMFregCPCT_FR12251959_FR03631831_CPCT02100029		p	02:02
566	161001_HMFregCPCT_FR10304586_FR12251584_CPCT02020370			01:00
567	161001_HMFregCPCT_FR10304586_FR12251584_CPCT02020370			01:01
568	161001_HMFregCPCT_FR10304586_FR12251584_CPCT02020370		f	02:01
569	161001_HMFregCPCT_FR10304586_FR12251584_CPCT02020370		p	02:00
570	161001_HMFregCPCT_FR10304586_FR12251584_CPCT02020370		p	02:02
571	161001_HMFregCPCT_FR10304587_FR12251979_CPCT02020371		p	01:00
572	161001_HMFregCPCT_FR10304587_FR12251979_CPCT02020371		p	01:01
573	161001_HMFregCPCT_FR10304587_FR12251979_CPCT02020371		p	02:01
574	161001_HMFregCPCT_FR10304587_FR12251979_CPCT02020371			02:00
575	161001_HMFregCPCT_FR10304587_FR12251979_CPCT02020371			02:02
576	161001_HMFregCPCT_FR12251871_FR12254115_CPCT02020369		p	01:00
577	161001_HMFregCPCT_FR12251871_FR12254115_CPCT02020369		p	01:01
578	161001_HMFregCPCT_FR12251871_FR12254115_CPCT02020369		p	02:01
579	161001_HMFregCPCT_FR12251871_FR12254115_CPCT02020369		p	02:00
580	161001_HMFregCPCT_FR12251871_FR12254115_CPCT02020369		p	02:02
581	161003_HMFregCPCT_FR10304582_FR12244718_CPCT02040036		p	01:00
582	161003_HMFregCPCT_FR10304582_FR12244718_CPCT02040036		p	01:01
583	161003_HMFregCPCT_FR10304582_FR12244718_CPCT02040036		p	02:01
584	161003_HMFregCPCT_FR10304582_FR12244718_CPCT02040036		p	02:00
585	161003_HMFregCPCT_FR10304582_FR12244718_CPCT02040036			02:02
586	161003_HMFregCPCT_FR10304594_FR12254235_CPCT02010408			01:00
587	161003_HMFregCPCT_FR10304594_FR12254235_CPCT02010408			01:01
588	161003_HMFregCPCT_FR10304594_FR12254235_CPCT02010408		p	02:01
589	161003_HMFregCPCT_FR10304594_FR12254235_CPCT02010408		p	02:00
590	161003_HMFregCPCT_FR10304594_FR12254235_CPCT02010408		p	02:02
591	161003_HMFregCPCT_FR10304597_FR12245854_CPCT02140021			01:00
592	161003_HMFregCPCT_FR10304597_FR12245854_CPCT02140021		p	01:01
593	161003_HMFregCPCT_FR10304597_FR12245854_CPCT02140021		p	02:01
594	161003_HMFregCPCT_FR10304597_FR12245854_CPCT02140021		p	02:00
595	161003_HMFregCPCT_FR10304597_FR12245854_CPCT02140021		p	02:02
596	161003_HMFregCPCT_FR10304605_FR12244716_CPCT02140023		r	01:00
597	161003_HMFregCPCT_FR10304605_FR12244716_CPCT02140023		p	01:01
598	161003_HMFregCPCT_FR10304605_FR12244716_CPCT02140023		p	02:01
599	161003_HMFregCPCT_FR10304605_FR12244716_CPCT02140023		p	02:00
600	161003_HMFregCPCT_FR10304605_FR12244716_CPCT02140023		p	02:02
601	161003_HMFregCPCT_FR12244562_FR12251647_CPCT02030246			01:00
602	161003_HMFregCPCT_FR12244562_FR12251647_CPCT02030246		p	01:01
603	161003_HMFregCPCT_FR12244562_FR12251647_CPCT02030246		p	02:01
604	161003_HMFregCPCT_FR12244562_FR12251647_CPCT02030246		r	02:00
605	161003_HMFregCPCT_FR12244562_FR12251647_CPCT02030246		p	02:02
606	161003_HMFregCPCT_FR12251954_FR12244720_CPCT02040038		p	01:00
607	161003_HMFregCPCT_FR12251954_FR12244720_CPCT02040038		p	01:01
608	161003_HMFregCPCT_FR12251954_FR12244720_CPCT02040038		p	02:01
609	161003_HMFregCPCT_FR12251954_FR12244720_CPCT02040038		p	02:00
610	161003_HMFregCPCT_FR12251954_FR12244720_CPCT02040038		p	02:02
611	161004_HMFregCPCT_FR12254625_FR12251588_CPCT02030250		p	01:00
612	161004_HMFregCPCT_FR12254625_FR12251588_CPCT02030250		p	01:01
613	161004_HMFregCPCT_FR12254625_FR12251588_CPCT02030250		p	02:01
614	161004_HMFregCPCT_FR12254625_FR12251588_CPCT02030250		f	02:00
615	161004_HMFregCPCT_FR12254625_FR12251588_CPCT02030250		p	02:02
616	161007_HMFregCPCT_FR10304607_FR12244721_CPCT02040039		p	01:00
617	161007_HMFregCPCT_FR10304607_FR12244721_CPCT02040039		p	01:01
618	161007_HMFregCPCT_FR10304607_FR12244721_CPCT02040039		p	02:01
619	161007_HMFregCPCT_FR10304607_FR12244721_CPCT02040039		p	02:00
620	161007_HMFregCPCT_FR10304607_FR12244721_CPCT02040039		p	02:02
621	161007_HMFregCPCT_FR12254255_FR12244717_CPCT02090002			01:00
622	161007_HMFregCPCT_FR12254255_FR12244717_CPCT02090002		p	01:01
623	161007_HMFregCPCT_FR12254255_FR12244717_CPCT02090002		p	02:01
624	161007_HMFregCPCT_FR12254255_FR12244717_CPCT02090002		r	02:00
625	161007_HMFregCPCT_FR12254255_FR12244717_CPCT02090002		r	02:02
626	161010_HMFregCPCT_FR10302728_FR12244318_CPCT02010386			01:00
627	161010_HMFregCPCT_FR10302728_FR12244318_CPCT02010386		p	01:01
628	161010_HMFregCPCT_FR10302728_FR12244318_CPCT02010386		p	02:01
629	161010_HMFregCPCT_FR10302728_FR12244318_CPCT02010386		p	02:00
630	161010_HMFregCPCT_FR10302728_FR12244318_CPCT02010386		p	02:02
631	161010_HMFregCPCT_FR10302785_FR12244326_CPCT02010409		p	01:00
632	161010_HMFregCPCT_FR10302785_FR12244326_CPCT02010409		p	01:01
633	161010_HMFregCPCT_FR10302785_FR12244326_CPCT02010409		p	02:01
634	161010_HMFregCPCT_FR10302785_FR12244326_CPCT02010409		f	02:00
635	161010_HMFregCPCT_FR10302785_FR12244326_CPCT02010409		p	02:02
636	161010_HMFregCPCT_FR10304599_FR12244723_CPCT02190001		p	01:00
637	161010_HMFregCPCT_FR10304599_FR12244723_CPCT02190001		p	01:01
638	161010_HMFregCPCT_FR10304599_FR12244723_CPCT02190001		p	02:01
639	161010_HMFregCPCT_FR10304599_FR12244723_CPCT02190001		f	02:00
640	161010_HMFregCPCT_FR10304599_FR12244723_CPCT02190001		p	02:02
641	161010_HMFregCPCT_FR10304601_FR12244715_CPCT02140022		f	01:00
642	161010_HMFregCPCT_FR10304601_FR12244715_CPCT02140022		f	01:01
643	161010_HMFregCPCT_FR10304601_FR12244715_CPCT02140022		p	02:01
644	161010_HMFregCPCT_FR10304601_FR12244715_CPCT02140022			02:00
645	161010_HMFregCPCT_FR10304601_FR12244715_CPCT02140022			02:02
646	161010_HMFregCPCT_FR10304610_FR12244325_CPCT02010403		p	01:00
647	161010_HMFregCPCT_FR10304610_FR12244325_CPCT02010403		p	01:01
648	161010_HMFregCPCT_FR10304610_FR12244325_CPCT02010403			02:01
649	161010_HMFregCPCT_FR10304610_FR12244325_CPCT02010403			02:00
650	161010_HMFregCPCT_FR10304610_FR12244325_CPCT02010403			02:02
651	161010_HMFregCPCT_FR10304612_FR12244722_CPCT02040040			01:00
652	161010_HMFregCPCT_FR10304612_FR12244722_CPCT02040040		p	01:01
653	161010_HMFregCPCT_FR10304612_FR12244722_CPCT02040040		p	02:01
654	161010_HMFregCPCT_FR10304612_FR12244722_CPCT02040040		p	02:00
655	161010_HMFregCPCT_FR10304612_FR12244722_CPCT02040040		p	02:02
656	161010_HMFregCPCT_FR12244708_FR12244328_CPCT02080036		p	01:00
657	161010_HMFregCPCT_FR12244708_FR12244328_CPCT02080036		p	01:01
658	161010_HMFregCPCT_FR12244708_FR12244328_CPCT02080036		p	02:01
659	161010_HMFregCPCT_FR12244708_FR12244328_CPCT02080036		p	02:00
660	161010_HMFregCPCT_FR12244708_FR12244328_CPCT02080036		p	02:02
661	161010_HMFregCPCT_FR12251638_FR12244323_CPCT02030271			01:00
662	161010_HMFregCPCT_FR12251638_FR12244323_CPCT02030271		p	01:01
663	161010_HMFregCPCT_FR12251638_FR12244323_CPCT02030271		r	02:01
664	161010_HMFregCPCT_FR12251638_FR12244323_CPCT02030271		f	02:00
665	161010_HMFregCPCT_FR12251638_FR12244323_CPCT02030271		p	02:02
666	161010_HMFregCPCT_FR12254233_FR12244324_CPCT02030272			01:00
667	161010_HMFregCPCT_FR12254233_FR12244324_CPCT02030272			01:01
668	161010_HMFregCPCT_FR12254233_FR12244324_CPCT02030272		p	02:01
669	161010_HMFregCPCT_FR12254233_FR12244324_CPCT02030272		p	02:00
670	161010_HMFregCPCT_FR12254233_FR12244324_CPCT02030272		p	02:02
671	161016_HMFregCPCT_FR10301955_FR12244316_CPCT02020309			01:00
672	161016_HMFregCPCT_FR10301955_FR12244316_CPCT02020309			01:01
673	161016_HMFregCPCT_FR10301955_FR12244316_CPCT02020309		p	02:01
674	161016_HMFregCPCT_FR10301955_FR12244316_CPCT02020309		p	02:00
675	161016_HMFregCPCT_FR10301955_FR12244316_CPCT02020309		p	02:02
676	161017_HMFregCPCT_FR10304596_FR12244341_CPCT02020376		r	01:00
677	161017_HMFregCPCT_FR10304596_FR12244341_CPCT02020376		p	01:01
678	161017_HMFregCPCT_FR10304596_FR12244341_CPCT02020376		p	02:01
679	161017_HMFregCPCT_FR10304596_FR12244341_CPCT02020376			02:00
680	161017_HMFregCPCT_FR10304596_FR12244341_CPCT02020376			02:02
681	161017_HMFregCPCT_FR10304611_FR12244340_CPCT02020377			01:00
682	161017_HMFregCPCT_FR10304611_FR12244340_CPCT02020377			01:01
683	161017_HMFregCPCT_FR10304611_FR12244340_CPCT02020377		p	02:01
684	161017_HMFregCPCT_FR10304611_FR12244340_CPCT02020377		r	02:00
685	161017_HMFregCPCT_FR10304611_FR12244340_CPCT02020377		r	02:02
686	161017_HMFregCPCT_FR12251662_FR12244342_CPCT02020373		p	01:00
687	161017_HMFregCPCT_FR12251662_FR12244342_CPCT02020373		p	01:01
688	161017_HMFregCPCT_FR12251662_FR12244342_CPCT02020373		p	02:01
689	161017_HMFregCPCT_FR12251662_FR12244342_CPCT02020373		p	02:00
690	161017_HMFregCPCT_FR12251662_FR12244342_CPCT02020373		r	02:02
691	161017_HMFregCPCT_FR12254730_FR12251982_CPCT02060010			01:00
692	161017_HMFregCPCT_FR12254730_FR12251982_CPCT02060010		p	01:01
693	161017_HMFregCPCT_FR12254730_FR12251982_CPCT02060010		p	02:01
694	161017_HMFregCPCT_FR12254730_FR12251982_CPCT02060010			02:00
695	161017_HMFregCPCT_FR12254730_FR12251982_CPCT02060010		p	02:02
696	161018_HMFregCPCT_FR10304608_FR12244344_CPCT02020378		p	01:00
697	161018_HMFregCPCT_FR10304608_FR12244344_CPCT02020378		p	01:01
698	161018_HMFregCPCT_FR10304608_FR12244344_CPCT02020378		p	02:01
699	161018_HMFregCPCT_FR10304608_FR12244344_CPCT02020378		p	02:00
700	161018_HMFregCPCT_FR10304608_FR12244344_CPCT02020378		p	02:02
701	161018_HMFregCPCT_FR12244712_FR12244331_CPCT02030274			01:00
702	161018_HMFregCPCT_FR12244712_FR12244331_CPCT02030274		p	01:01
703	161018_HMFregCPCT_FR12244712_FR12244331_CPCT02030274		p	02:01
704	161018_HMFregCPCT_FR12244712_FR12244331_CPCT02030274			02:00
705	161018_HMFregCPCT_FR12244712_FR12244331_CPCT02030274		p	02:02
